City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
86,illizi,26.4833,8.4667,10.890000000000043,36,0,2.55,DZ,1702337069
87,nova vicosa,-17.8919,-39.3719,25.680000000000007,82,81,7.74,BR,1702337069
88,thompson,55.7435,-97.8558,-12.909999999999968,85,100,6.17,CA,1702337069
89,prieska,-29.6641,22.7474,19.629999999999995,45,0,1.62,ZA,1702337069
90,ushuaia,-54.8,-68.3,11.810000000000002,47,20,2.57,AR,1702337069
91,serhetabat,35.2799,62.3438,6.400000000000034,71,36,4.82,TM,1702337070
92,rainsville,34.4943,-85.8477,5.470000000000027,48,0,0.0,US,1702337070
93,qaqortoq,60.7167,-46.0333,-1.099999999999966,96,100,4.76,GL,1702337070
94,bonito,-21.1211,-56.4819,26.710000000000036,70,8,1.2,BR,1702337070
95,verkhnyaya sinyachikha,57.976,61.6673,-30.379999999999967,93,82,2.11,RU,1702337070
96,lalam,9.7166,76.7,23.450000000000045,95,99,0.98,IN,1702337070
97,ribeira brava,32.65,-17.0667,21.110000000000014,45,78,1.02,PT,1702337071
98,korop,51.5664,32.9586,0.6400000000000432,99,100,5.15,UA,1702337071
99,tshela,-4.9833,12.9333,23.04000000000002,98,100,0.55,CD,1702337071
100,brezina,33.0989,1.2608,14.890000000000043,27,79,2.02,DZ,1702337071
101,petropavlovsk-kamchatsky,53.0452,158.6483,-8.669999999999959,87,40,7.6,RU,1702337058
102,bodden town,19.2833,-81.25,28.0,85,40,4.12,KY,1702337071
103,namdrik,5.5994,168.1028,28.189999999999998,79,91,8.65,MH,1702337071
104,vorkuta,67.5,64.0,-17.919999999999987,88,100,6.22,RU,1702337072
105,laguna,38.421,-121.4238,17.28000000000003,46,0,2.06,US,1702337072
106,iqaluit,63.7506,-68.5145,-15.149999999999977,78,75,4.63,CA,1702337072
107,surskoye,54.4821,46.7214,-12.899999999999977,83,100,7.73,RU,1702337072
108,antsiranana,-12.2787,49.2917,25.460000000000036,83,19,4.79,MG,1702337072
109,mizque,-17.941,-65.3402,22.80000000000001,61,96,2.25,BO,1702337073
110,ceprano,41.5457,13.5147,14.890000000000043,91,98,0.38,IT,1702337073
111,atafu village,-8.5421,-172.5159,28.53000000000003,80,100,11.06,TK,1702337073
112,susuman,62.7833,148.1667,-21.67999999999998,96,100,2.24,RU,1702337073
113,rosetta,31.4044,30.4164,16.670000000000016,62,0,2.39,EG,1702337073
114,anadyr,64.75,177.4833,-25.559999999999974,75,20,5.0,RU,1702337073
115,tura,25.5198,90.2201,14.5,89,0,1.44,IN,1702337073
116,hasaki,35.7333,140.8333,12.379999999999995,88,100,11.32,JP,1702337073
117,zhanaozen,43.3,52.8,-9.759999999999991,90,85,10.42,KZ,1702337074
118,keflavik,64.0049,-22.5624,-1.759999999999991,80,20,2.57,IS,1702337074
119,tazovsky,67.4667,78.7,-25.45999999999998,95,100,3.89,RU,1702337074
120,saint-philippe,-21.3585,55.7679,23.77000000000004,81,61,4.62,RE,1702337074
121,ust-nera,64.5667,143.2,-19.49999999999997,98,100,3.37,RU,1702337074
122,mukalla,14.5425,49.1242,22.700000000000045,67,41,1.74,YE,1702337075
123,talnakh,69.4865,88.3972,-26.44999999999999,98,100,4.67,RU,1702337075
124,fort bragg,35.139,-79.006,5.75,77,0,0.0,US,1702337074
125,la maddalena,41.2142,9.4083,17.03000000000003,82,100,9.38,IT,1702337075
126,hithadhoo,-0.6,73.0833,27.610000000000014,78,51,2.76,MV,1702337075
127,tralee,52.2704,-9.7026,7.6299999999999955,94,100,2.22,IE,1702337075
128,east london,-33.0153,27.9116,19.360000000000014,85,55,1.39,ZA,1702337076
129,utrik,11.2278,169.8474,27.150000000000034,71,21,9.14,MH,1702337076
130,obo,5.3998,26.4869,26.200000000000045,52,91,1.14,CF,1702337076
131,port alfred,-33.5906,26.891,17.32000000000005,96,4,2.5,ZA,1702337076
132,cabo san lucas,22.8909,-109.9124,27.560000000000002,60,0,2.06,MX,1702337076
133,axim,4.8699,-2.2405,26.810000000000002,83,14,2.56,GH,1702337076
134,lerwick,60.1545,-1.1494,3.0,72,100,3.85,GB,1702337076
135,abepura,-2.6333,140.5833,28.450000000000045,79,20,1.54,ID,1702337076
136,puerto baquerizo moreno,-0.9,-89.6,25.55000000000001,83,75,5.14,EC,1702337077
137,kapa'a,22.0752,-159.319,28.99000000000001,83,20,4.12,US,1702337077
138,sitka,57.0531,-135.33,6.939999999999998,76,100,6.17,US,1702337077
139,dawei,14.0833,98.2,22.58000000000004,88,68,1.69,MM,1702337077
140,galle,6.0367,80.217,25.120000000000005,88,78,0.18,LK,1702337077
